TPC sector 	 TPC channel 	 WIENER board 	 WIENER channel 
1 		 0 		 0 		 0 
1 		 1 		 0 		 1 
2 		 0 		 0 		 2 
2 		 1 		 0 		 3 
3 		 0 		 0 		 4 
3 		 1 		 0 		 5 
4 		 0 		 0 		 6 
4 		 1 		 0 		 7 
5 		 0 		 0 		 8 
5 		 1 		 0 		 9 
6 		 0 		 0 		 10 
6 		 1 		 0 		 11 
7 		 0 		 0 		 12 
7 		 1 		 0 		 13 
8 		 0 		 0 		 14 
8 		 1 		 0 		 15 
9 		 0 		 1 		 0 
9 		 1 		 1 		 1 
10 		 0 		 1 		 2 
10 		 1 		 1 		 3 
11 		 0 		 1 		 4 
11 		 1 		 1 		 5 
12 		 0 		 1 		 6 
12 		 1 		 1 		 7 
13 		 0 		 1 		 8 
13 		 1 		 1 		 9 
14 		 0 		 1 		 10 
14 		 1 		 1 		 11 
15 		 0 		 1 		 12 
15 		 1 		 1 		 13 
16 		 0 		 1 		 14 
16 		 1 		 1 		 15 
17 		 0 		 2 		 0 
17 		 1 		 2 		 1 
18 		 0 		 2 		 2 
18 		 1 		 2 		 3 
19 		 0 		 2 		 4 
19 		 1 		 2 		 5 
20 		 0 		 2 		 6 
20 		 1 		 2 		 7 
21 		 0 		 2 		 8 
21 		 1 		 2 		 9 
22 		 0 		 2 		 10 
22 		 1 		 2 		 11 
23 		 0 		 2 		 12 
23 		 1 		 2 		 13 
24 		 0 		 2 		 14 
24 		 1 		 2 		 15 
